MessageId,SendTimestampTicks,ReceiveTimestampTicks,ConsumerId,ConsumerGroup
54388bd4-c720-47ac-971c-a3611ff5e2a6,639138629635432804,639138629635501603,c6afdd8f-7830-467f-8966-08b373e601ad,0
44b0d686-57bd-4fa2-aed0-b536675ba5dd,639138629635496098,639138629635514593,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
bd0e94b8-cff5-410b-838f-a2c1a051f6dd,639138629635506780,639138629635536387,c6afdd8f-7830-467f-8966-08b373e601ad,0
10dd3c23-7942-4dab-9e99-e94d2f88e1da,639138629635516771,639138629635545818,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
a6343f2a-608c-42fd-82fc-8f1dc3c5b1f1,639138629635526796,639138629635565601,c6afdd8f-7830-467f-8966-08b373e601ad,0
c7a1c88e-2542-42a5-885c-eb077c1d4921,639138629635542212,639138629635552016,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
d27cc9c4-ef15-446e-9a89-43ba320b9b7f,639138629635552237,639138629635570339,c6afdd8f-7830-467f-8966-08b373e601ad,0
2d4e9061-0955-4744-8af8-0dd2e3ce3199,639138629635562202,639138629635581151,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
fd48f9bf-4557-418b-b45b-152441fc875c,639138629635572200,639138629635593763,c6afdd8f-7830-467f-8966-08b373e601ad,0
f16ded66-0f48-47dc-bc2a-dfe42a9cfbfe,639138629635582206,639138629635602741,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
408a1ebc-69ff-4492-9579-6a74ca03726c,639138629635592203,639138629635623875,c6afdd8f-7830-467f-8966-08b373e601ad,0
fe3a0ab3-aa93-4a2c-b6d2-41a8f135fb2d,639138629635602200,639138629635633558,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
5ef40f9d-0cde-4376-bbac-d06e6de2b8df,639138629635612202,639138629635631132,c6afdd8f-7830-467f-8966-08b373e601ad,0
2a53353b-6ed1-4e3c-8d60-19250c9dc879,639138629635622196,639138629635639510,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
9ab19af9-eac6-41c2-b5ac-01a2d69c8133,639138629635632222,639138629635651275,c6afdd8f-7830-467f-8966-08b373e601ad,0
bd619770-92d0-49ae-9a3b-ae20fd25e52e,639138629635642197,639138629635664823,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
d34d0e84-c409-4935-8d42-089919c0b027,639138629635652198,639138629635661082,c6afdd8f-7830-467f-8966-08b373e601ad,0
dcf69759-abcb-423c-9249-08d8fd48e9f3,639138629635662201,639138629635690341,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
8e06927f-f4da-4ba5-a041-0a1bede1b361,639138629635672199,639138629635682755,c6afdd8f-7830-467f-8966-08b373e601ad,0
e0473542-cc85-4725-897f-d0a0df9063b6,639138629635682212,639138629635694427,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
5a92d63a-a68a-4c1c-8e01-a77aabe5a60b,639138629635692205,639138629635709930,c6afdd8f-7830-467f-8966-08b373e601ad,0
ac55eded-3d89-46a7-adba-8241f681d7f6,639138629635702198,639138629635721552,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
180fdba4-a046-45f8-a371-3fcf80c9e95c,639138629635712198,639138629635729691,c6afdd8f-7830-467f-8966-08b373e601ad,0
0486a823-d9fc-4885-92f7-979091d28de6,639138629635722200,639138629635739014,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
782ee6a2-cd70-4855-ad66-90ae8b3264a8,639138629635732198,639138629635750174,c6afdd8f-7830-467f-8966-08b373e601ad,0
db1ce19f-1196-43eb-bd96-da4d531e518e,639138629635742199,639138629635758710,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
125a88e1-6674-411f-a367-7abce07c2f36,639138629635752195,639138629635769629,c6afdd8f-7830-467f-8966-08b373e601ad,0
ad6a3b64-a81f-4f31-bd3b-620b76c17104,639138629635762205,639138629635778389,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
5ed7f530-7e0e-4d74-873b-82e405a031bd,639138629635772200,639138629635789345,c6afdd8f-7830-467f-8966-08b373e601ad,0
37b3ec40-3914-44a9-803a-591eb1b4b570,639138629635782197,639138629635798547,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
b270b539-6f88-426f-bd46-eb6974c3727b,639138629635792199,639138629635809606,c6afdd8f-7830-467f-8966-08b373e601ad,0
761e8efa-de51-4d36-b203-aa0c7d61b4a9,639138629635802198,639138629635818622,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
21e3cc6a-16ac-472c-9b55-0f721112cf59,639138629635812199,639138629635829355,c6afdd8f-7830-467f-8966-08b373e601ad,0
46941f57-f544-4e59-8cde-709e5f35adba,639138629635822211,639138629635838405,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
d632d12a-9e7f-47be-ab08-6b82051d640d,639138629635832198,639138629635849217,c6afdd8f-7830-467f-8966-08b373e601ad,0
01fcb699-92b3-4635-a4e4-a4110f1e8c2d,639138629635842204,639138629635858025,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
ef36d74a-e25a-4713-a850-e2d9f53877ee,639138629635852197,639138629635869425,c6afdd8f-7830-467f-8966-08b373e601ad,0
eee4e593-0002-4bb6-9cd4-8bb7a9a37c95,639138629635862197,639138629635878926,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
17c505a7-7b43-48f1-9a67-589d3c00a291,639138629635872195,639138629635889018,c6afdd8f-7830-467f-8966-08b373e601ad,0
5039634e-9363-41aa-b130-f0f0ad9f777e,639138629635882196,639138629635897788,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
de8b61fc-ae5b-4147-8296-161ce27985c0,639138629635892208,639138629635909319,c6afdd8f-7830-467f-8966-08b373e601ad,0
1f456f12-3536-4f33-aa8c-275ee77fff00,639138629635902197,639138629635917897,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
db6b2640-a136-405a-b23c-11f17652d41e,639138629635912198,639138629635928950,c6afdd8f-7830-467f-8966-08b373e601ad,0
406e62a3-8123-4753-b60a-3aaecded9ad9,639138629635922199,639138629635938376,49f4f00a-eaef-4ce9-8895-f0383692e4fd,1
9db542b2-6271-4977-8815-1b20ed45c1e5,639138629635932197,639138629635949071,c6afdd8f-7830-467f-8966-08b373e601ad,0
